Author	All	Since 2014	LC	User
Antonio Pulgarin	813	353	Yes	6stmDBwAAAAJ
Fredrik Åström	1095	795	Yes	OtuV1tt6WzEC
Kim Holmberg	1422	1174	Yes	gt_L3DwAAAAJ
R Jeyshankar	425	360	Yes	TQF3k4cAAAAJ
Sandra Miguel	1084	852	Yes	kx7GkbkAAAAJ
Hervé Rostaing	489	108	Yes	94SETOkAAAAJ
Daniela De Filippo	950	657	Yes	xJXchMIAAAAJ
Kim-Leng Goh	745	464	Yes	UyX7UsYAAAAJ
Clara Calero	856	620	Yes	P2byP8gAAAAJ
Nicolás Robinson-García	1485	1324	Yes	Jd6KNkQAAAAJ
Guillaume Cabanac	915	663	No	4dp38PkAAAAJ
Boutin Eric	401	110	No	PS9J4ocAAAAJ
Liney Manjarres-Henríquez	749	500	Yes	c4HL8GsAAAAJ
Anup Kumar Das	653	425	Yes	Mc52nH8AAAAJ
Pablo Dorta-González	740	526	Yes	7PaIpS4AAAAJ
J. Carlos García-Zorita	609	341	Yes	M5NYl_MAAAAJ
KK Mueen Ahmed	8130	5496	No	xAjKcWcAAAAJ
Anil Kumar	534	201	No	Dg18zbkAAAAJ
Jose Navarrete	503	211	Yes	jXhMj4MAAAAJ
Nick Tomaiuolo	398	61	Yes	bekzZAUAAAAJ
Gohar Feroz Khan	1377	1213	Yes	W2MXc50AAAAJ
Carlos Olmeda-Gomez	663	438	Yes	XrdfHXUAAAAJ
Iain Craig	469	209	No	Jqm5FaoAAAAJ
Shigeaki Yamazaki	367	83	Yes	1YDw_WwAAAAJ
Antonio Perianes-Rodríguez	1042	747	Yes	uv-uDGsAAAAJ
Aparna Basu	933	375	Yes	owrNVxoAAAAJ
Edgar Schiebel	458	211	Yes	Kdi1X6UAAAAJ
Valentina Markusova	691	454	Yes	_DHUuYsAAAAJ
Li Tang 唐莉	826	699	Yes	FIT6asAAAAAJ
Leandro Innocentini Lopes de Faria	732	479	Yes	JLLgS5EAAAAJ
Raf Guns	894	727	Yes	NeSFF60AAAAJ
Fereshteh Didegah	949	849	Yes	pG0Ynb8AAAAJ
Chaoqun Ni	1161	1029	Yes	aSuMS0oAAAAJ
Ruben Urbizagastegui Alvarado	1115	593	Yes	c1kemjAAAAAJ
Vladimir Pislyakov	897	605	No	d7rCieAAAAAJ
Berenika M. Webster	494	202	Yes	MzC7m3kAAAAJ
Maja Jokić	392	180	Yes	nQ6iBrEAAAAJ
Muhammad Imran	2141	2082	No	z8niHlEAAAAJ
Hedman Juha	483	246	Yes	AvHE6wcAAAAJ
Máxima Bolaños-Pizarro	538	371	Yes	6Yz1W0wAAAAJ
Diana Lucio-Arias	581	406	Yes	cjoIbkwAAAAJ
Sebastian K Boell (Böll)	1191	1047	Yes	gEKg8gwAAAAJ
Swapan kumar Patra	583	433	Yes	XIT3hDEAAAAJ
Cui Yuhong（崔宇红）	307	125	No	bPAE6mEAAAAJ
Matthew L. Wallace	568	408	Yes	TiCTAagAAAAJ
Maria Victoria Guzman Sánchez	4352	2123	Yes	V6meT00AAAAJ
Pero Šipka	321	83	Yes	-uCwzKsAAAAJ
Robert D. Shelton	312	126	Yes	8CmmlyoAAAAJ
Carlos Benito Amat	322	138	Yes	T8BjsjMAAAAJ
Xiaozhong Liu	769	682	Yes	1BUByMcAAAAJ
Enrique Orduna-Malea	1493	1391	Yes	g6bEUdkAAAAJ
Tindaro Cicero	763	694	No	tZx_LXoAAAAJ
Tim Engels	1075	952	Yes	fx07pbwAAAAJ
Balabhim Biradar	489	335	No	P1UMGPsAAAAJ
Zohreh Zahedi	1350	1337	Yes	X8O5sZ4AAAAJ
Björn Hammarfelt	1006	896	Yes	seuD8ukAAAAJ
Marcia Regina da Silva	1377	779	Yes	EwqAdjUAAAAJ
Dean Hendrix	361	219	No	prRiDCEAAAAJ
G. Galyani	359	204	Yes	chsTGtEAAAAJ
Marianne Gauffriau	272	139	Yes	n7CvIkIAAAAJ
Gonzalo Ordonez-Matamoros	624	466	Yes	WSUZlUcAAAAJ
Bhaskar Mukherjee	549	401	Yes	QQ2-23sAAAAJ
SL Sangam	3765	2117	Yes	0EQmbJIAAAAJ
Kannappanavar B U	430	302	No	GkkgyxcAAAAJ
Elizabeth S Vieira	458	343	No	dx7SHEoAAAAJ
Guo Freeman (Zhang)	1143	1097	Yes	eRQZhUAAAAAJ
Rosario Rogel	371	227	Yes	t5jxiy0AAAAJ
Jens Terliesner	560	505	Yes	7SA5PYYAAAAJ
Christian Gumpenberger	838	749	Yes	o1ED8XQAAAAJ
Francisco Collazo	357	245	Yes	MFR_KSYAAAAJ
Prof Maheswarappa B S	234	84	No	92hA5cMAAAAJ
Wouter Gerritsma	308	175	Yes	3iDBE-MAAAAJ
Jordi Ardanuy	490	357	No	Obc0ZxMAAAAJ
Mohammad-Hossein Biglu	426	309	Yes	sSDgnesAAAAJ
Zhigang Hu（胡志刚）	1018	953	No	ggbPLZ8AAAAJ
Kun Lu	487	416	No	hCBWfYYAAAAJ
Maria Cassella	423	256	Yes	agJK6DIAAAAJ
Ali Gazni	564	489	No	uHgcoz0AAAAJ
Hyunseok Park	864	829	Yes	hs_siRcAAAAJ
Livia Vasas	205	87	No	T7pLwOUAAAAJ
Satish Munnolli	180	58	No	n_6IkGoAAAAJ
Fabio Castro Gouveia	286	167	No	4wvbO3EAAAAJ
Anna Berhidi	189	76	No	LdUWiPIAAAAJ
Nele Dexters	218	113	Yes	3eqDwnsAAAAJ
Władysław Marek Kolasa	269	164	Yes	CasYbjEAAAAJ
Ehsan Mohammadi	667	665	Yes	ddrRUEMAAAAJ
Андрей Печников	338	172	No	_m-J8xEAAAAJ
Денис Соловяненко	232	120	No	bwmoas0AAAAJ
Shenmeng Xu	416	362	Yes	6SYbD8AAAAAJ
Carole Probst	218	114	Yes	-tErsS0AAAAJ
Subir K. Sen	161	44	Yes	F-zEw80AAAAJ
Dalibor Fiala	446	370	Yes	qFA7Fw4AAAAJ
Jose Antonio Torres-Reyes	151	52	Yes	4GU8zdoAAAAJ
Isabel Iribarren-Maestro	183	87	No	5MRbLAEAAAAJ
Amit Kumar Bandyopadhyay	196	119	Yes	_ZnVaK8AAAAJ
Wen-Yau Cathy Lin 林雯瑤	220	135	No	91mVloEAAAAJ
Cristian Colliander	268	195	Yes	ZNw-kmUAAAAJ
Catharina Rehn	195	126	Yes	DnJhIGQAAAAJ
R. Balasubramani	320	276	No	cPs4SD0AAAAJ
Borja González-Albo Manglano	318	238	Yes	_y1hvXYAAAAJ
Amalia Mas Bleda	375	336	No	MUgty9wAAAAJ
Kamal Lochan Jena	177	128	Yes	le2B5PUAAAAJ
Hajar Sotudeh	284	215	Yes	bdJlRbMAAAAJ
Ramalingam Jeyshankar	425	360	No	TQF3k4cAAAAJ
