author	identity	work_count	record_count	languages	total_holdings	author_id	source	duplicated
Vincent Larivière	Larivière, Vincent	1	2	1	13	viaf-2694152025923203600006	Web	TRUE
Caroline S. Wagner	Wagner, Caroline S.	32	147	2	7.157	lccn-no95037161	API	FALSE
Victor Herrero-Solana	Herrero Solana, Víctor	5	9	1	89	np-herrero%20solana,%20victor	API	TRUE
Victor Herrero-Solana	Solana, Víctor Herrero	1	1	1	1	np-solana,%20victor%20herrero	Web	TRUE
Lokman Meho	Meho, Lokman I. 1968-	12	47	3	2.421	lccn-n97017150	API	FALSE
Javier Ruiz-Castillo	Ruiz Castillo, Javier	159	272	2	1.124	lccn-n85183232	API	TRUE
Javier Ruiz-Castillo	Ruiz-Castillo, Javier	13	30	2	63	viaf-285910243	Web	TRUE
Fiorenzo Franceschini	Franceschini, Fiorenzo	28	98	3	2.042	lccn-n2001014866	API	FALSE
Rafael Aleixandre-Benavent	Aleixandre Benavent, Rafael	27	33	3	35	np-aleixandre%20benavent,%20rafael	API	TRUE
Rafael Aleixandre-Benavent	Aleixandre Benavent, Rafael	5	5	2	7	viaf-7149542569000300086	Web	TRUE
Nees Jan van Eck	Eck, Nees Jan van	21	23	1	27	viaf-282702111	API	FALSE
Cinzia Daraio	Daraio, Cinzia	13	48	1	701	lccn-n2007035300	API	FALSE
Svein Kyvik	Kyvik, Svein	64	139	4	1.062	lccn-n83181025	API	TRUE
Svein Kyvik	Kyvik, Sven	1	1	1	1	np-kyvik,%20sven	Web	TRUE
Jan Youtie	Youtie, Jan L.	31	45	1	571	lccn-n95084447	Web	TRUE
Jan Youtie	Youtie, Jan	3	3	1	9	viaf-312644121	API	TRUE
Stefan Darmoni	Darmoni, Stéfan Jacques	47	65	1	105	viaf-22279614	Web	TRUE
Stefan Darmoni	Darmoni, Stéfan	1	1	1	38	np-darmoni,%20stefan	API	TRUE
Stefan Darmoni	Darmoni, Stéphan J.	1	1	1	21	np-darmoni,%20stephan%20j	Web	TRUE
Isidro F. Aguillo	Aguillo, Isidro F.	28	41	2	258	lccn-ns2016003848	API	FALSE
Terttu Luukkonen	Luukkonen, Terttu	56	80	2	95	lccn-n97047200	API	TRUE
Terttu Luukkonen	Luukkonen-Gronow, Terttu	13	15	2	19	lccn-n92800147	Web	TRUE
Terttu Luukkonen	Luukkonen, Tertuu	1	1	1	5	np-luukkonen,%20tertuu	Web	TRUE
Terttu Luukkonen	Luukonen-Gronow, Terttu	1	1	1	3	np-luukonen%20gronow,%20terttu	Web	TRUE
Michael E. D. Koenig	Koenig, Michael E. D.	36	134	2	2.876	lccn-n80156697	API	TRUE
Michael E. D. Koenig	Koenig, Michael E. D.	1	1	1	17	viaf-211040825	Web	TRUE
Michael E. D. Koenig	Koenig, M. E. D.	1	1	1	1	np-koenig,%20m%20e%20d	Web	TRUE
Evaristo Jimenez-Contreras	Jiménez Contreras, Evaristo	20	33	1	57	lccn-no98094445	API	FALSE
Ludo Waltman	Waltman, Ludo	26	28	1	33	viaf-285821126	API	FALSE
Paul Wouters	Wouters, Paul	43	52	3	1.362	np-wouters,%20paul	API	TRUE
Paul Wouters	Wouters, Paul	1	5	1	125	viaf-295743525	Web	TRUE
Paul Wouters	Wouters, Paul	1	1	1	12	viaf-287837006	Web	TRUE
Paul Wouters	Wouters, Paul	2	3	1	4	viaf-286368262	Web	TRUE
Paul Wouters	Wouters, Paul	1	1	1	2	viaf-291051848	Web	TRUE
Paul Wouters	Wouters, Paul	1	1	1	1	viaf-285900923	Web	TRUE
Paul Wouters	Wouters, Paul	1	1	1	1	viaf-288917177	Web	TRUE
Paul Wouters	Wouters, Paul 1951-	14	55	2	2.000	lccn-n2012028410	Web	TRUE
Paul Wouters	Wouters, Paul 1950-	7	15	2	162	lccn-n92113329	Web	TRUE
Paul Wouters	Wouters, Paul 1951-	2	2	2	2	np-wouters,%20paul$1951	Web	TRUE
Paul Wouters	Wouters,Paul	1	1	1	1	np-wouters,paul	Web	TRUE
Lea Velho	Velho, Léa	25	46	3	330	lccn-n94069619	API	TRUE
Lea Velho	Velho, Lea Maria Leme Strini	3	3	2	3	np-velho,%20lea%20maria%20leme%20strini	Web	TRUE
Lea Velho	Velho, Lea Maria	1	1	1	1	np-velho,%20lea%20maria	Web	TRUE
Lea Velho	Velho, L.	9	9	2	9	np-velho,%20l	Web	TRUE
Lea Velho	Velho, L. (LEA VELHO)	1	1	1	1	np-velho,%20l$lea%20velho	Web	TRUE
Georgios Paltoglou	Paltoglou, Georgios	3	14	1	382	lccn-nb2014026950	API	TRUE
Georgios Paltoglou	Paltoglu, Georgios	1	1	1	0	np-paltoglu,%20georgios	Web	TRUE
Magnus Gulbrandsen	Gulbrandsen, Magnus	20	49	5	438	lccn-n98008518	API	TRUE
Magnus Gulbrandsen	Gulbrandsen, Magnus	1	1	1	1	viaf-72146634528941932790	Web	TRUE
Ruediger Mutz	Mutz, Rüdiger	10	16	2	92	viaf-7266148997611459870006	API	FALSE
Yves-François Le Coadic	Le Coadic, Yves-François	30	91	5	1.302	lccn-n95048959	API	FALSE
Zaida Chinchilla-Rodríguez	Chinchilla-Rodríguez, Zaida	19	38	1	165	lccn-no2008134827	API	FALSE
Andrea Scharnhorst	Scharnhorst, Andrea	10	59	2	2.218	lccn-nb2009017716	API	TRUE
Andrea Scharnhorst	Scharnhorst, Andrea	5	8	2	16	viaf-91097436	Web	TRUE
B. S.Kademani	B. S. Kademani	2	2	1	2	np-b%20s%20kademani	API	FALSE
Добров Геннадій Михайлович	NA	NA	NA	NA	NA	NA	NA	NA
Benjamín Vargas-Quesada	Vargas-Quesada, Benjamin	8	34	2	638	lccn-no2007106318	API	FALSE
Bart Thijs	Thijs, Bart	10	1	10	10	viaf-176558613	Web	TRUE
Bart Thijs	Thijs, Bart (Bart C.M.) 1975-	1	2	1	2	viaf-281906142	Web	TRUE
Daniel Torres-Salinas	Torres-Salinas, Daniel	17	27	2	82	viaf-316754639	Web	TRUE
Daniel Torres-Salinas	Torres Salinas, Daniel	1	1	1	1	nc-torres%20salinas%20daniel	Web	TRUE
Vicente Pablo Guerrero Bote	Guerrero Bote, Vicente P.	4	9	2	14	viaf-87420484	Web	TRUE
