author	total_holdings	work_count	record_count	All	Since 2014	User	Bibliometrics	Figure	Status	University	lang
Catharina Rehn	2	2	2	195	126	DnJhIGQAAAAJ	Yes	Librarian	Active	Karolinska Institutet Universitetsbiblioteket	1
Chandran Velmurugan	2	1	1	399	380	z5rNJbEAAAAJ	Yes	Librarian	Active	Vivekanandha Arts & Science College for Women	1
Chaomei Chen	5879	42	243	16476	7837	IjN4HSRsdakC	Yes	Researcher	Active	Drexel University	2
Chaoqun Ni	11	3	3	1161	1029	aSuMS0oAAAAJ	Yes	Professor	Active	University of Iowa	2
Chris Belter	447	10	11	302	290	pvilbloAAAAJ	Yes	Librarian	Active	National Institue of Health	1
Christian Gumpenberger	12	5	8	838	749	o1ED8XQAAAAJ	Yes	Librarian	Active	University of Vienna	2
Christian Schloegl	124	21	32	1055	629	mb9URYsAAAAJ	Yes	Professor	Active	University of Graz	2
Cinzia Daraio	701	13	48	4923	3214	0alB7eMAAAAJ	Yes	Professor	Active	"University of Rome ""La Sapienza"""	1
Ciriaco Andrea D'Angelo	23	23	23	4008	3195	WPjx-3cAAAAJ	Yes	Professor	Active	University of Rome Tor Vergata	1
Claire Donovan	4	1	3	907	588	_Q2XIpoAAAAJ	Yes	Professor	Active	Brunel University London	1
Clara Calero	5	3	5	856	620	P2byP8gAAAAJ	Yes	Researcher	Active	University of Leiden	2
Cristian Colliander	3	2	3	268	195	ZNw-kmUAAAAJ	Yes	Professor	Active	Umeå University	1
Dalibor Fiala	10	6	8	446	370	qFA7Fw4AAAAJ	Yes	Professor	Active	University of West Bohemia	3
Dangzhi Zhao	192	5	14	1352	797	5vXyMaEAAAAJ	Yes	Professor	Active	University of Alberta	1
Daniel Torres-Salinas	83	18	28	3683	2608	wQUrJIoAAAAJ	Yes	Professor	Active	University of Granada	2
Daniel Wadskog	6	3	5	123	59	89N1ZusAAAAJ	Yes	Librarian	Active	Uppsala University, Sweden	2
Daniela De Filippo	46	3	6	950	657	xJXchMIAAAAJ	Yes	Professor	Active	University Carlos III de Madrid	1
David 'the' Stuart	1	1	1	817	405	TIHpj0QAAAAJ	Yes	Professor	Active	King's College London	1
Derek J. de Solla Price	6775	179	484	21002	5928	Ev26B2YAAAAJ	Yes	Professor	Deceased	---	11
Diana Hicks	1	1	1	7331	3953	gtXLO6EAAAAJ	Yes	Professor	Active	Georgia Institute of Technology	1
Diana Lucio-Arias	135	6	16	581	406	cjoIbkwAAAAJ	Yes	Professor	Active	Pontifical Xavierian University	2
Diego Marcos Cartagena	1	1	1	65	47	LaVtLncAAAAJ	Yes	Librarian	Active	iMarina	1
Edgar Schiebel	67	19	44	458	211	Kdi1X6UAAAAJ	Yes	Researcher	Active	Austrian Institute of Technology	2
Ehsan Mohammadi	7	4	6	667	665	ddrRUEMAAAAJ	Yes	Professor	Active	University of South Carolina	2
Elea Giménez-Toledo	451	20	70	1542	865	jaqfQqEAAAAJ	Yes	Researcher	Active	CSIC	2
Elena Corera-Álvarez	101	13	19	1604	642	KR0qfAkAAAAJ	Yes	Researcher	Active	CSIC	1
