author	total_holdings	work_count	record_count	All	Since 2014	User	Bibliometrics	Figure	Status	University	lang
Stefanie Haustein	1317	11	32	4484	4312	kWhLvE8AAAAJ	Yes	Professor	Active	University of Ottawa	2
Subir K. Sen	5	2	4	161	44	F-zEw80AAAAJ	Yes	Professor	Active	University of Calcutta	1
Suzana Mueller	52	24	37	2114	881	S-JffFoAAAAJ	Yes	Professor	Emeritus	University of Brasilia	3
Svein Kyvik	1063	65	140	4631	2383	Mm8hmRcAAAAJ	Yes	Researcher	Active	Nordic Institute for Studies in Innovation	4
Sven Hemlin	1124	34	99	1697	895	Smopdp0AAAAJ	Yes	Professor	Emeritus	University of Gothenburg	5
Swapan kumar Patra	2	2	2	583	433	XIT3hDEAAAAJ	Yes	Professor	Active	Tshwane University of Technology	1
Sybille Hinze	352	52	96	1452	447	hfo4uyIAAAAJ	Yes	Professor	Active	DZHW	4
Terttu Luukkonen	122	71	97	2996	1021	cw83cRwAAAAJ	Yes	Professor	Emeritus	University manchester	2
Thed van Leeuwen	40	7	7	7448	3684	DTRyxOUAAAAJ	Yes	Researcher	Active	Centre for Science and Technology Studies (CWTS)	2
Tibor Braun	2706	167	456	9534	2124	jfM8cPAAAAAJ	Yes	Professor	Retired	Loránd Eötvös University	8
Tim Engels	6	5	5	1075	952	fx07pbwAAAAJ	Yes	Professor	Active	Universiteit Antwerpen	1
Tove Faber Frandsen	10	3	6	754	399	OsiP8QQAAAAJ	Yes	Professor	Active	University of Southern Denmark	1
Ulf Sandström	332	83	114	1731	834	3_TFJjAAAAAJ	Yes	Researcher	Active	KTH Royal Institute Technology	2
Umut Al	470	8	26	1358	867	RAfy1r4AAAAJ	Yes	Professor	Active	Hacettepe Universit	3
Vaishali Khaparde	4	2	2	274	241	g7fxPrIAAAAJ	Yes	Professor	Active	Dr Babasaheb Ambedkar Marathwada University	1
Valentina Markusova	5	3	3	691	454	_DHUuYsAAAAJ	Yes	Researcher	Active	Russian Institute for S&T Information (VINITI)	2
Valeria Molteni	2	2	2	125	79	SWEPI9oAAAAJ	Yes	Librarian	Active	Menlo College	1
Vasily V. Nalimov	2441	83	262	12376	3372	6Ev6TloAAAAJ	Yes	Researcher	Deceased	----	5
Vicente Pablo Guerrero Bote	76	13	18	3079	1862	Kx-qCh0AAAAJ	Yes	Professor	Active	University of Extremadura	2
Victor Herrero-Solana	90	6	10	3865	1463	OKIleUEAAAAJ	Yes	Professor	Active	University of Granada	2
Vincent Larivière	407	24	53	10555	8894	UvfK8IUAAAAJ	Yes	Researcher	Active	University of Leiden	2
Werner Marx	8	3	4	2545	1791	5czWyjsAAAAJ	Yes	Researcher	Active	Max Planck Institute for Solid State Research,	1
Wolfgang Glänzel	1111	54	114	18776	8701	eN4qrBgAAAAJ	Yes	Professor	Active	KU Leuven	4
Wouter Gerritsma	28	11	12	308	175	3iDBE-MAAAAJ	Yes	Librarian	Deceased	Vrije Universiteit Amsterdam	1
Władysław Marek Kolasa	183	90	103	269	164	CasYbjEAAAAJ	Yes	Professor	Active	Pedagogical University of Cracow	3
Xiaozhong Liu	67	27	32	769	682	1BUByMcAAAAJ	Yes	Professor	Active	Indiana University Bloomington	2
Yaniris Rodríguez-Sánchez	123	4	12	166	102	sJAtp0oAAAAJ	Yes	Researcher	Active	CINESTAV	1
Ying Ding	1436	19	88	9043	4817	riuIGwIAAAAJ	Yes	Professor	Active	 Indiana University Bloomington	2
Yves-François Le Coadic	1302	30	91	2504	904	BeGPwbgAAAAJ	Yes	Professor	Emeritus	Cnam - Paris	5
Zaida Chinchilla-Rodríguez	165	19	38	3058	1688	eI_07rMAAAAJ	Yes	Researcher	Active	CSIC	1
Zohreh Zahedi	5	5	5	1350	1337	X8O5sZ4AAAAJ	Yes	Researcher	Active	University of Leiden	2
maryam shekofteh	2	2	2	129	96	KFidCf0AAAAJ	Yes	Professor	Active	Shahid Beheshti University of Medical Sciences	1
Álvaro Cabezas-Clavijo	63	5	11	1189	849	z9mQzfYAAAAJ	Yes	Researcher	Active	EC3metrics	2
