Author	Bibliometrics	Figure	Status	University
Alvaro Roldán López	Yes	Librarian	Active	Consejería de Sanidad de la Comunidad de Madrid
B. Elango	Yes	Librarian	Active	IFET College of Engineering
David 'the' Stuart	Yes	Professor	Active	King's College London
Diana Hicks	Yes	Professor	Active	Georgia Institute of Technology
Diego Marcos Cartagena	Yes	Librarian	Active	iMarina
Emma Georgina Santillán Rivero	Yes	Librarian	Active	CINESTAV
Ephrance Abu Ujum	Yes	Professor	Retired	University of Malaya
Farideh Osareh	Yes	Professor	Active	University of Ahvaz
G. Galyani	Yes	Professor	Active	Allameh Tabataba'i University
Hajar Sotudeh	Yes	Professor	Active	Shiraz University
John S. Liu	Yes	Professor	Active	National Taiwan University of Science and Technology
Kamal Badar	Yes	Professor	Active	Prince Sultan University
Leslie Adriaanse	Yes	Librarian	Active	University of South Africa
Li Tang 唐莉	Yes	Professor	Active	Fudan University
Liney Manjarres-Henríquez	Yes	Professor	Active	Universidad de la Costa 
Marie E McVeigh	Yes	Librarian	Active	Clarivate Analytics
Nele Dexters	Yes	Professor	Active	University of Antwerp
Orlando Gregorio-Chaviano	Yes	Professor	Active	Pontifical Xavierian University
Peter Sjögårde	Yes	Librarian	Active	Karolinska Institutet
R Jeyshankar	Yes	Professor	Active	Alagappa University
Samir Kumar Jalal	Yes	Librarian	Active	Indian Institute of Technology
Sibele Fausto	Yes	Librarian	Active	University of São Paulo
Jens Terliesner	Yes	Professor	Active	Heinrich-Heine-University Düsseldorf
Rafael Bailón Moreno	No	Professor	Active	University of Granada
