author	lang	count
Ricardo Arencibia Jorge	spa	27
Rickard Danell	eng	14
Rickard Danell	swe	3
Rigas Arvanitis	ara	4
Rigas Arvanitis	eng	21
Rigas Arvanitis	fre	41
Rigas Arvanitis	ger	1
Rigas Arvanitis	spa	5
Robert D. Shelton	eng	23
Robert J.W. Tijssen	dut	12
Robert J.W. Tijssen	eng	28
Rodrigo Costas	eng	9
Rodrigo Costas	fre	1
Rodrigo Costas	glg	2
Rodrigo Costas	por	2
Rodrigo Costas	spa	7
Rogério Mugnaini	por	6
Ronald Rousseau	chi	2
Ronald Rousseau	dut	4
Ronald Rousseau	eng	105
Ronald Rousseau	fre	1
Ronald Rousseau	por	2
Rosa Scoble	eng	3
Rosane Taruhn	por	2
Rosario Rogel	spa	26
Ruben Urbizagastegui Alvarado	eng	3
Ruben Urbizagastegui Alvarado	por	26
Ruben Urbizagastegui Alvarado	spa	22
Ruediger Mutz	eng	3
Ruediger Mutz	ger	13
SA Sanni	eng	5
SL Sangam	eng	6
Sada Bihari Sahu	eng	5
Samir Kumar Jalal	eng	1
Samuel C Bradford	cat	1
Samuel C Bradford	eng	102
Samuel C Bradford	fre	1
Samuel C Bradford	ger	2
Samuel C Bradford	por	4
Samuel C Bradford	spa	2
Sandra Miguel	eng	3
Sandra Miguel	fre	2
Sandra Miguel	spa	16
Sebastian K Boell (Böll)	eng	2
Sergio Carbonell de la Fé	spa	8
Shenmeng Xu	eng	2
Shigeaki Yamazaki	eng	2
Shigeaki Yamazaki	jpn	1
Sibele Fausto	por	1
Stacy Konkiel	eng	5
Staša Milojević	eng	7
Stefan Darmoni	fre	40
Stefanie Haustein	eng	29
Stefanie Haustein	ger	3
Subir K. Sen	eng	4
Suzana Mueller	eng	9
Suzana Mueller	por	26
Suzana Mueller	spa	1
Svein Kyvik	dan	1
Svein Kyvik	eng	60
Svein Kyvik	nob	2
Svein Kyvik	nor	23
Sven Hemlin	dan	1
Sven Hemlin	dut	1
Sven Hemlin	eng	72
Sven Hemlin	hrv	3
Sven Hemlin	swe	7
Swapan kumar Patra	eng	2
Sybille Hinze	eng	29
Sybille Hinze	fre	1
Sybille Hinze	ger	62
Sybille Hinze	slv	1
Terttu Luukkonen	eng	44
Terttu Luukkonen	fin	12
Thed van Leeuwen	dut	1
Thed van Leeuwen	eng	6
Tibor Braun	dut	1
Tibor Braun	eng	180
Tibor Braun	fre	1
Tibor Braun	ger	20
Tibor Braun	hun	3
Tibor Braun	mis	1
Tibor Braun	rus	1
Tibor Braun	spa	3
Tim Engels	eng	5
Tove Faber Frandsen	eng	6
Ulf Sandström	eng	21
Ulf Sandström	swe	67
Umut Al	eng	23
Umut Al	fre	1
Umut Al	tur	2
Vaishali Khaparde	eng	2
Valentina Markusova	eng	2
Valentina Markusova	rus	1
Valeria Molteni	spa	2
Vasily V. Nalimov	eng	64
Vasily V. Nalimov	fre	1
Vasily V. Nalimov	ger	7
Vasily V. Nalimov	hun	3
Vasily V. Nalimov	rus	82
Vicente Pablo Guerrero Bote	eng	5
Vicente Pablo Guerrero Bote	spa	13
Victor Herrero-Solana	por	1
Victor Herrero-Solana	spa	9
Vincent Larivière	eng	38
Vincent Larivière	fre	12
Werner Marx	ger	4
Wolfgang Glänzel	eng	67
Wolfgang Glänzel	ger	3
Wolfgang Glänzel	hun	7
Wolfgang Glänzel	spa	1
Wouter Gerritsma	eng	12
Władysław Marek Kolasa	chi	2
Władysław Marek Kolasa	eng	1
Władysław Marek Kolasa	pol	31
Xiaozhong Liu	chi	22
Xiaozhong Liu	eng	3
Yaniris Rodríguez-Sánchez	spa	12
Ying Ding	chi	17
Ying Ding	eng	70
Yves-François Le Coadic	cat	2
Yves-François Le Coadic	fre	70
Yves-François Le Coadic	por	5
Yves-François Le Coadic	rum	1
Yves-François Le Coadic	spa	2
Zaida Chinchilla-Rodríguez	spa	38
Zohreh Zahedi	eng	3
Zohreh Zahedi	per	2
maryam shekofteh	eng	2
vaishali khaparde	eng	2
Álvaro Cabezas-Clavijo	eng	1
Álvaro Cabezas-Clavijo	spa	10
