author	author_id	lang	count
Bertram C. Brookes	lccn-n86088339	fre	1
Bertram C. Brookes	lccn-n86088339	por	1
Bertram C. Brookes	lccn-n86088339	dut	1
Bertram C. Brookes	viaf-243145542571196640755	eng	4
Bertram C. Brookes	viaf-243145542571196640755	fre	1
John Irvine	lccn-n96116917	eng	101
John Irvine	lccn-n96116917	jpn	1
John Irvine	lccn-n96116917	ger	1
Ismael Rafols	viaf-307268930	eng	6
Ismael Rafols	viaf-307268930	ger	1
Peter Jacso	lccn-n91082694	eng	50
Peter Jacso	lccn-n91082694	hun	12
Peter Jacso	lccn-n91082694	spa	6
Peter Jacso	np-jasco,%20peter	eng	1
Emilio Delgado López-Cózar	lccn-n91050689	spa	49
Emilio Delgado López-Cózar	lccn-n91050689	eng	1
Emilio Delgado López-Cózar	lccn-n91050689	cat	1
Peter Van den Besselaar	lccn-n90719972	eng	121
Peter Van den Besselaar	lccn-n90719972	dut	5
Peter Van den Besselaar	viaf-200858379	eng	19
Peter Van den Besselaar	np-besselaar,%20van%20den%20peter	eng	1
Peter Van den Besselaar	np-besselaar,%20peter%20van%20der	eng	2
Peter Van den Besselaar	np-besselaar,%20p%20van%20den	dut	1
Peter Van den Besselaar	np-besselaar,%20p%20van%20den	eng	1
Peter Van den Besselaar	np-besselaar,p%20van%20den	dut	1
Vincent Larivière	lccn-n2017180793	eng	36
Vincent Larivière	lccn-n2017180793	fre	12
Vincent Larivière	viaf-2694152025923203600006	eng	2
Caroline S. Wagner	lccn-no95037161	eng	123
Caroline S. Wagner	lccn-no95037161	ger	5
Victor Herrero-Solana	np-herrero%20solana,%20victor	spa	9
Victor Herrero-Solana	np-solana,%20victor%20herrero	por	1
Lokman Meho	lccn-n97017150	eng	45
Lokman Meho	lccn-n97017150	ara	1
Lokman Meho	lccn-n97017150	tur	1
Javier Ruiz-Castillo	lccn-n85183232	eng	52
Javier Ruiz-Castillo	lccn-n85183232	spa	37
Javier Ruiz-Castillo	viaf-285910243	eng	29
Javier Ruiz-Castillo	viaf-285910243	spa	1
Fiorenzo Franceschini	lccn-n2001014866	eng	69
Fiorenzo Franceschini	lccn-n2001014866	ita	17
Fiorenzo Franceschini	lccn-n2001014866	spa	1
Rafael Aleixandre-Benavent	np-aleixandre%20benavent,%20rafael	spa	23
Rafael Aleixandre-Benavent	np-aleixandre%20benavent,%20rafael	cat	2
Rafael Aleixandre-Benavent	np-aleixandre%20benavent,%20rafael	eng	1
Rafael Aleixandre-Benavent	viaf-7149542569000300086	spa	4
Rafael Aleixandre-Benavent	viaf-7149542569000300086	eng	1
Nees Jan van Eck	viaf-282702111	eng	22
Cinzia Daraio	lccn-n2007035300	eng	48
Svein Kyvik	lccn-n83181025	eng	60
Svein Kyvik	lccn-n83181025	nor	22
Svein Kyvik	lccn-n83181025	nob	2
Svein Kyvik	lccn-n83181025	dan	1
Svein Kyvik	np-kyvik,%20sven	nor	1
Jan Youtie	lccn-n95084447	eng	34
Jan Youtie	viaf-312644121	eng	3
Stefan Darmoni	viaf-22279614	fre	38
Stefan Darmoni	np-darmoni,%20stefan	fre	1
Stefan Darmoni	np-darmoni,%20stephan%20j	fre	1
Isidro F. Aguillo	lccn-ns2016003848	spa	31
Isidro F. Aguillo	lccn-ns2016003848	cat	1
Terttu Luukkonen	lccn-n97047200	eng	33
Terttu Luukkonen	lccn-n97047200	fin	6
Terttu Luukkonen	lccn-n92800147	eng	9
Terttu Luukkonen	lccn-n92800147	fin	6
Terttu Luukkonen	np-luukkonen,%20tertuu	eng	1
Terttu Luukkonen	np-luukonen%20gronow,%20terttu	eng	1
Michael E. D. Koenig	lccn-n80156697	eng	113
Michael E. D. Koenig	lccn-n80156697	ger	3
Michael E. D. Koenig	viaf-211040825	ger	1
Michael E. D. Koenig	np-koenig,%20m%20e%20d	eng	1
Evaristo Jimenez-Contreras	lccn-no98094445	spa	33
Ludo Waltman	viaf-285821126	eng	22
Paul Wouters	np-wouters,%20paul	dut	14
Paul Wouters	np-wouters,%20paul	eng	11
Paul Wouters	np-wouters,%20paul	ita	1
Paul Wouters	viaf-295743525	eng	5
Paul Wouters	viaf-287837006	dut	1
Paul Wouters	viaf-286368262	dut	3
Paul Wouters	viaf-291051848	dut	1
Paul Wouters	viaf-285900923	eng	1
Paul Wouters	viaf-288917177	dut	1
Paul Wouters	lccn-n2012028410	eng	45
Paul Wouters	lccn-n2012028410	dut	10
Paul Wouters	lccn-n92113329	dut	14
Paul Wouters	lccn-n92113329	eng	1
Paul Wouters	np-wouters,%20paul$1951	dut	1
Paul Wouters	np-wouters,%20paul$1951	eng	1
Paul Wouters	np-wouters,paul	dut	1
Lea Velho	lccn-n94069619	eng	22
Lea Velho	lccn-n94069619	por	13
Lea Velho	lccn-n94069619	spa	6
Lea Velho	np-velho,%20lea%20maria%20leme%20strini	por	2
Lea Velho	np-velho,%20lea%20maria%20leme%20strini	eng	1
Lea Velho	np-velho,%20lea%20maria	por	1
Lea Velho	np-velho,%20l	eng	5
Lea Velho	np-velho,%20l	por	4
Lea Velho	np-velho,%20l$lea%20velho	eng	1
Georgios Paltoglou	lccn-nb2014026950	eng	14
Georgios Paltoglou	np-paltoglu,%20georgios	eng	1
Magnus Gulbrandsen	lccn-n98008518	eng	31
Magnus Gulbrandsen	lccn-n98008518	nor	14
Magnus Gulbrandsen	lccn-n98008518	mul	2
Magnus Gulbrandsen	lccn-n98008518	ger	1
Magnus Gulbrandsen	lccn-n98008518	nob	1
Magnus Gulbrandsen	viaf-72146634528941932790	eng	1
Ruediger Mutz	viaf-7266148997611459870006	ger	13
Ruediger Mutz	viaf-7266148997611459870006	eng	3
Yves-François Le Coadic	lccn-n95048959	fre	70
Yves-François Le Coadic	lccn-n95048959	por	5
Yves-François Le Coadic	lccn-n95048959	cat	2
Yves-François Le Coadic	lccn-n95048959	spa	2
Yves-François Le Coadic	lccn-n95048959	rum	1
Zaida Chinchilla-Rodríguez	lccn-no2008134827	spa	38
Andrea Scharnhorst	lccn-nb2009017716	eng	52
Andrea Scharnhorst	lccn-nb2009017716	ger	7
Andrea Scharnhorst	viaf-91097436	ger	5
Andrea Scharnhorst	viaf-91097436	eng	3
B. S.Kademani	np-b%20s%20kademani	eng	2
Benjamín Vargas-Quesada	lccn-no2007106318	eng	23
Benjamín Vargas-Quesada	lccn-no2007106318	spa	11
Bart Thijs	viaf-176558613	eng	10
Bart Thijs	viaf-281906142	eng	2
Daniel Torres-Salinas	viaf-316754639	spa	24
Daniel Torres-Salinas	viaf-316754639	eng	3
Daniel Torres-Salinas	nc-torres%20salinas%20daniel	spa	1
Vicente Pablo Guerrero Bote	viaf-87420484	eng	5
Vicente Pablo Guerrero Bote	viaf-87420484	spa	4
Vicente Pablo Guerrero Bote	np-guerrero%20bote,%20vicente%20pablo	spa	7
Vicente Pablo Guerrero Bote	np-guerrero%20bote,%20vicente	spa	2
Lennart Björneborn	viaf-307221567	dan	7
Lennart Björneborn	viaf-307221567	eng	4
Eric Archambault	np-archambault,%20eric	eng	19
Eric Archambault	np-archambault,%20eric	fre	12
Eric Archambault	np-archambault,%20eric$1964	fre	3
Eric Archambault	np-archambault,%20eric$1964	eng	1
Eric Archambault	np-archambault,%20eric%20j%20a	eng	2
Alan Pritchard	lccn-n50022603	eng	114
Alan Pritchard	np-pritchard,%20alan	eng	33
Giovanni Abramo	viaf-90176484	ita	20
Giovanni Abramo	viaf-90176484	eng	1
Massimo Franceschet	viaf-4359149198333574940005	eng	11
Massimo Franceschet	np-franceshet,%20massimo	eng	1
Antonio Gutierrez Gracia	lccn-n84158906	spa	69
Antonio Gutierrez Gracia	lccn-n84158906	fre	1
Antonio Gutierrez Gracia	np-gutierrez%20gracia,%20antonio	spa	2
Antonio Gutierrez Gracia	np-gutierrez%20gracia,%20antonio	eng	1
